Tim Burton,director / executive producer 
James Marshall,director
Gandja Monteiro,director 
Charles Addams,based on characters created by
Alfred Gough,executive producer  / writer
Miles Millar,executive producer  / writer 
Kayla Alpert,executive producer  / writer
April Blair,writer 
Matt Lambert,writer 
Jenna Ortega,actor/actress
Gwendoline Christie,actor/actress
Riki Lindhome,actor/actress
Emma Myers,actor/actress
Joy Sunday,actor/actress
Naomi J. Ogawa,actor/actress
Christina Ricci,actor/actress
Jamie McShane,actor/actress
Hunter Doohan,actor/actress
Percy Hynes White,actor/actress
Georgie Farmer,actor/actress
Johnna Dias-Watson,actor/actress
Oliver Watson,actor/actress
Victor Dorobantu,actor/actress
Moosa Mostafa,actor/actress
Daniel Himschoot,actor/actress / stunt double
Luyanda Unati Lewis-Nyawo,actor/actress
Iman Marson,actor/actress
Calum Ross,actor/actress
Cezar Grumazescu,actor/actress
Tommie Earl Jenkins,actor/actress
Catherine Zeta-Jones,actor/actress
Morgan Beale,actor/actress
George Burcea,actor/actress
Islam Bouakkaz,actor/actress
William Houston,actor/actress
Karina Varadi,actor/actress
Rina Mahoney,actor/actress
Georgia Goodman,actor/actress
Murray McArthur,actor/actress
Fred Armisen,actor/actress
Luis Guzman,actor/actress
Olimpia Malai,actor/actress
Isaac Ordonez,actor/actress
Nitin Ganatra,actor/actress
Lucius Hoyos,actor/actress
Cheherezade Valentine Okotaka Ebale,actor/actress
Oliver Wickham,actor/actress
Edward Kennedy,actor/actress
Ismail Kesu,actor/actress
Caroline Lawrie,actor/actress
Lachele Carl,actor/actress
Gwen Jones,actor/actress
Lisa O'Hare,actor/actress
Sophia Nomvete,actor/actress
Ichiro Yuki,actor/actress
Amanda Drew,actor/actress
Ryan Ellsworth,actor/actress
Gloria Garcia,actor/actress
Gracy Goldman,actor/actress
Lewis Hayes,actor/actress
Philip Rosch,actor/actress
Michael Okele,actor/actress
Chloe Cate,actor/actress
Gail Berman,executive producer 
Jonathan Glickman,executive producer 
Carla Gonzalez Vargas,co-executive producer
Tommy Harper,executive producer 
Nick Iannelli,co-producer 
Kevin Lafferty,executive producer 
David Minkowski,co-executive producer
Kevin Miserocchi,executive producer 
Andrew Mittman,executive producer 
Carmen Pepelea,producer
Steve Stark,executive producer
Natalie Testa,associate producer
Todd Williams,co-executive producer
Chris Bacon,composer: additional music / music
Danny Elfman,music / theme music composer
